Unnamed: 0,data_paper_doi,research_paper_doi,data_paper_url,research_paper_url,research_paper_file_url,data_paper_has_file,research_paper_has_file,source,all_author_names_data_paper,all_author_names_research_paper,matching_authors,non_matching_authors,proportion_of_authors_found,data_paper_publication_date,research_paper_publication_date,days_between_publications
22,10.5334/johd.33,http://ceur-ws.org/Vol-2723/short26.pdf,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.33,https://doi.org/http://ceur-ws.org/Vol-2723/short26.pdf,,TRUE,FALSE,original-johd,"Christopher Akiki, Manuel Burghardt","Christopher Akiki, Manuel Burghardt","Christopher Akiki, Manuel Burghardt",,0.6666666666666670,2021-07-07,,
23,10.5334/johd.30,http://ceur-ws.org/Vol-2723/long7.pdf,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.30,https://doi.org/http://ceur-ws.org/Vol-2723/long7.pdf,,TRUE,FALSE,original-johd,"Evelyn Gius, Svenja Guhr, Inna Uglanova","Evelyn Gius, Inna Uglanova","Evelyn Gius, Inna Uglanova",Svenja Guhr,0.0,2021-07-08,,
24,10.5334/johd.35,10.1007/978-3-658-30702-8_7,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.35,https://link.springer.com/chapter/10.1007/978-3-658-30702-8_7,,TRUE,FALSE,original-johd,"Adrien Barbaresi, Jens Pohlmann","Adrien Barbaresi, Jens Pohlmann","Adrien Barbaresi, Jens Pohlmann",,1.0,2021-07-22,2020-11-30,234
25,10.5334/johd.45,10.6084/m9.figshare.14743044.v2,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.45,https://figshare.com/articles/conference_contribution/Content_Reconstruction_of_Parliamentary_Questions_-_Combining_Metadata_with_an_OCR_Process/14743044/2,,TRUE,TRUE,original-johd,"Fotios Fitsilis, George K. Mikros","Fotios Fitsilis, George K. Mikros, Carsten Schewemmer","Fotios Fitsilis, George K. Mikros",Carsten Schewemmer,0.6666666666666670,2021-08-04,2021-06-07,58
26,10.5334/johd.49,10.1080/23273798.2018.1552007,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.49,https://www.tandfonline.com/doi/full/10.1080/23273798.2018.1552007,https://doi.org/10.1080/23273798.2018.1552007,TRUE,TRUE,original-johd,"Marloes Mak, Roel M. Willems","Marloes Mak, Roel M. Willems","Marloes Mak, Roel M. Willems",,1.0,2021-10-13,2018-12-01,1047
27,10.5334/johd.56,10.1145/3371140.3371143,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.56,https://dl.acm.org/doi/10.1145/3371140.3371143,,TRUE,FALSE,original-johd,"Mariona Coll Ardanuy, David Beavan, Kaspar Beelen, Kasra Hosseini, Jon Lawrence, Katherine McDonough, Federico Nanni, Daniel van Strien, Daniel Wilson","Mariona Coll Ardanuy, Katherine McDonough, Amrey Krause, Daniel Wilson, Kasra Hosseini, Daniel van Strien","Mariona Coll Ardanuy, Kasra Hosseini, Katherine McDonough, Daniel van Strien, Daniel Wilson","David Beavan, Kaspar Beelen, Jon Lawrence, Federico Nanni",0.5555555555555560,2022-01-24,2019-11-27,789
28,10.5334/johd.56,10.1145/3397536.3422236,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.56,https://dl.acm.org/doi/10.1145/3397536.3422236,http://arxiv.org/pdf/2009.08114,TRUE,TRUE,original-johd,"Mariona Coll Ardanuy, David Beavan, Kaspar Beelen, Kasra Hosseini, Jon Lawrence, Katherine McDonough, Federico Nanni, Daniel van Strien, Daniel Wilson","Mariona Coll Ardanuy, Kasra Hosseini, Katherine McDonough, Amrey Krause, Daniel van Strien, Federico Nanni","Mariona Coll Ardanuy, Kasra Hosseini, Katherine McDonough, Federico Nanni, Daniel van Strien","David Beavan, Kaspar Beelen, Jon Lawrence, Daniel Wilson",0.5555555555555560,2022-01-24,2020-11-24,426
29,10.1038/s41597-023-02205-z,10.1017/S1755773922000364,,,,TRUE,TRUE,jd,"Robert Huber, Yannick Stiller, Andreas Dür",Yannick Stiller,Yannick Stiller,"Robert Huber, Andreas Dür",0.3333333333333330,2023-05-27,2022-08-17,283
30,10.1038/s41597-022-01900-7,10.5194/acp-2022-848,,,,TRUE,TRUE,jd,"Mario Mech, André Ehrlich, Andreas Herber, Christof Lüpkes, Manfred Wendisch, Sebastian Becker, Yvonne Boose, Dmitry Chechin, Susanne Crewell, Régis Dupuy, Christophe Gourbeyre, Jörg Hartmann, Evelyn Jäkel, Olivier Jourdan, Leif-Leonard Kliesch, Marcus Klingebiel, Birte Solveig Kulla, Guillaume Mioche, Manuel Moser, Nils Risse, Elena Ruiz-Donoso, Michael Schäfer, Johannes Stapf, Christiane Voigt","Marcus Klingebiel, André Ehrlich, Elena Ruiz-Donoso, Nils Risse, Imke Schirmacher, Evelyn Jäkel, Michael Schäfer, Kevin Wolf, Mario Mech, Manuel Moser, Christiane Voigt, Manfred Wendisch","Mario Mech, André Ehrlich, Manfred Wendisch, Evelyn Jäkel, Marcus Klingebiel, Manuel Moser, Nils Risse, Elena Ruiz-Donoso, Michael Schäfer, Christiane Voigt","Andreas Herber, Christof Lüpkes, Sebastian Becker, Yvonne Boose, Dmitry Chechin, Susanne Crewell, Régis Dupuy, Christophe Gourbeyre, Jörg Hartmann, Olivier Jourdan, Leif-Leonard Kliesch, Birte Solveig Kulla, Guillaume Mioche, Johannes Stapf",0.4166666666666670,2022-12-29,2023-01-06,8
31,10.1038/s41597-022-01870-w,10.1088/2632-2153/aca23e,,,,TRUE,TRUE,jd,"Mathias Schreiner, Arghya Bhowmik, Tejs Vegge, Jonas Busk, Ole Winther","Mathias Schreiner, Arghya Bhowmik, Tejs Vegge, Peter Bjørn Jørgensen, Ole Winther","Mathias Schreiner, Arghya Bhowmik, Tejs Vegge, Ole Winther",Jonas Busk,0.8,2022-12-24,2022-11-11,43
